essay_id,essay_text,essay_type,reference_text_id
55,"В чем же смысл фразы ""Ещё подумал я и о том, что красота, видно, живёт в сердце каждого человека и очень важно суметь разбудить её, не дать ей умереть, не проснувшись"", и как ее понять? Я думаю, что у каждого человека есть своя душа, свое понимание о красоте и далеко не все могут ее раскрыть, выпустить наружу. 
В данном тексте представлен аргумент, который описывает то, что хотел показать нам Некрасов в своих поэтических произведениях (1-5). Поэт видел красоту в простом: ""старые душистые березы"", ""гуляющие стада на лугах"", ""запах дыма с картофельных полей"". Все это для него являлось примером искусства и давало вдохновение.
Второй пример из текста можно увидеть в предложениях (19-24). Женщины, напевая песню, смотрят на убегающую в поле дорожку. Замечтавшись, сидя с серьезными лицами, они плыли по лесной дикой реке. Природа разбудила в них красоту, сблизила их между собой, объединила таких разных, друг на друга не похожих абсолютно людей.
Можно сделать вывод, что пробуждение крастоты внутри души сближает людей между собой и природой, делает каждого человека искренним, миролюбивым. Проснувшись, красота дает увидеть очень многое, открывается другой взгляд на мир, меняется отношение. Я считаю,что каждый должен разбудить в себе это чувство, выпустить наружу желание видеть прекрасное в каждой березке, в каждом пожелтевшем листике, наступающей осени, не давая ему умереть, так и оставшись с пустой душой и эгоистичным человеком.",2,3
56,"Это мы можем понять через предложения 2-5, где Некрасов при помощи своего творчества воздействует на главного героя,заставяля видеть свой образ. Как второй пример можно взять предложение (21), незнакомые люди под действием красоты природы и совместного пения чувствуют родство. Слова песни заставили их так считать.
Основываясь на оба примера, можно сделать вывод, что в любой ситуации можно подобрать свои срества языка, которые будут удивлять людей на протяжении долгого времени.",2,3
44,"Высказывание Пескова Василия Михайловича я понимаю так: писатель говорит о том, что большая часть людей не стали эгоистами, и не забыли о помощи. Также не стоит судить человека за плохое, главное, сколько хорошего сделал человек.
В предложениях 4-11 говорится о папином обещании. Он обещал мальчику книгу, и как только он смог ее себе позволить, взял мальчика и купил ее. Он не обманул мальчика и поступил по-мужски.
В предложениях 29-37 мы  наблюдаем как мальчику принесли 7 книг, которые ему купили люди из поезда, чтобы он не расстраивался, потому что они видели как дорога ему эта книга и не смогли пройти мимо.
В заключении скажу, что помогать людяи нужноь- это очень легкий способ сделать человеку приятно.",2,4
46,"""Осталась уверенность: бескорыстных и хороших людей больше, чем плохих, и жизнь движется вперёд не тем, что в человеке плохого, а тем, что есть в нём хорошего"" - пишет В. Песков в предлодженном для анализа тексте. Я понимаю эти слова так: на тот момент люди были очень добрые и бесскорыстные. Многим помогали просто так, даже потому, что им это в радость, как в подобной ситуации с мальчиком. Докажем рассуждения на примерах из текста. 
В предложениях 20-25 автор пытался нам передать эмоциональное состояние и все переживания мальчика за потерянную книгу. Видно как герою помогают просто так люди, видимо им было интересно куда же все-таки провалилась книга и они ее пытались поскорее достать ведь многие переживали за мальчика, что говорит о искреннем сердце людей.
В предложениях 34-37 автор смог передать всю радость этого мальчика после того как ему приносили все новые и новые книги. Ведь это были просто незнакомые люди этому мальчику которые ему захотели помочь и сделали это несмотря ни на что.
В заключении хочу сказать, что в каждом человеке есть доброта которая его красит. Стоит брать пример с доброжелательных людей ведь твои хорошие поступки будут к тебе возвращаться бумерангом.",2,4
16,"Выбор - осознанное решение людей. Я считаю, что выбор, совершённый в детстве, может решить дальнейшую судьбу и жизнь человека. Справедливость своих слов докажу конкретными примерами.
В тексте Деникина Антона рассказывается о мальчике, который ещё в детстве, при помощи обряда, выбрал карьеру военного. Он часто ходил в гимнастический городок, на стрельбища. В конце дня мальчик шёл с солдатами и пел песни вместе с ними. Ему нравилось то, чем он занимается, ведь оно доставляло ему веселье. Когда мальчик уже вырос, то избрал карьеру военного. По этому примеру видно, что выбор совершённый в детстве предопределяет судьбу человека.
Подобные примеры можно встретить и в жизни. У меня есть друг Рома, у которого с самого детства была огромная любовь к спорту. Когда он был маленький, то с ним занимался отец, а позже, когда подрос, то каждый день пропадал часами на стадионе. Сейчас Рома увлекается спортом на профессиональном уровне. Он занимает лучшие места на соревнованиях и имеет большую популярность.
По примеру из жизни Ромы можно также понять, что выбор, который он совершил в далёком детстве определил его жизнь.
Таким образом, я пришёл к выводу, выбор, который человек делает еще в раннем возрасте, может предрешить его жизнь.",3,1
17,"Выбор это действие человека при котором он делает решения между несколькими вариантами ответа и пытается найти верный среди неправельных. Докажим справедливость своих слов на конкретном примере.
Так, в тексте Деникина в предложении 4 автор делает выбор какой из четырех предметов взять и он выбирает саблю и рюмку.
Приводя пример из своей жизни, хотел бы обратится к случаю который произошел с моим другом, ему предложили походить на занятия по математике, он долго не думая отказался.
Так, люди совершающие правильный выбор вызывает у меня чувство радости и гордости.",3,1
18,"Выбор - это осознанное решение человека, которое он выбирает из предложенные вариантов. Иногда человеку бывает очень сложно сделать выбор. Приведу два аргумента.
Автор рассказывает о своём детстве. Мальчишкой он часто пропадал в гимнастическом городке 1-ого стрелкового батальона, занимаясь военными упражнениями, После перехода в старшие классы свободного времени становилось меньше и его военные упражнения прекратились. После окончания училища у него стоял выбор: поступать в любое высшее заведение или выбрать военную карьеру. Он выбрал военную карьеру, несмотря на то, что у него были высокие баллы, которые сулили легкую возможность поступления.
У меня была похожая ситуация. В седьмом классе мы переехали на новую квартиру. Школа, в которой я училась, находилась в двух остановках от дома. Напротив нашего дома находился хороший лицей. Мне предстоял выбор: остаться в своей школе или перейти в новую, которая была ближе к дому. Я выбрала перейти в новую школу, так как хотела новых знакомств и общения.
Таким образом, выбор - это осознанное решение человека, которое он выбирает из предложенных вариантов.",3,1
19,"Что такое выбор? Человек встречается с выбором каждый день. Он выбирает, что съесть на завтрак, как одеться, как провести свободное время.
На примере текста А.И.Деникина мы видим, что главный герой сталкнулся с выбором карьеры после окончания училища. У него была лёгкая возможность поступления в людей высшее техническое заведение. Но он выбрал военную карьеру. На это повлияло то, что с самого детства его знакомили с военным делом. Отец рассказывал ему о своём тернистом пути от солдата до капитана. Главный герой целыми днями попадал в гимнастическом городке 1-го Стрелкового батальёна и приобретал друзей среди солдат. Так он прижился в военной среде. Поэтому главный герой сделал выбор, не задумываясь.
Мне тоже в своей жизни приходилось выбирать. Это было связно с музыкальной школой. Я мог отказаться от неё, но меня привлекала музыка, и поэтому я решил поступить. Мне было трудно учиться, но благодаря любви к музыке, поддержке родителей, я преодолел все трудности и закончил музыкальную школу на отлично.
Итак, я делаю вывод, что выбор - это предпочтения человека, которые зависят от множества факторов.",3,1
20,"Выбор - это решение, которое мы принимаем. Каждый день нам приходится выбирать, оценивая возможные варианты. Самые ответственные и серьезные решения мы принимаем в юности и молодости, связывая с ними нашу дальнейшую жизнь.
В качестве первого примера, возьмём рассказ Деникина Антона Иванович, русского военачальника, он повествовал о выборе, который ему пришлось сделать: ""Я избрал военную карьеру"". Это решение было очевидным, потому что с самого детства герой был заинтересован в военном деле.
Недавно мне тоже пришлось сделать выбор, связанный с моим будущим. Я приняла решение стать хирургом, несмотря на все предусмотренные сложности, для достижения этой цели.
К выбору, который будет влиять на ваше будущее или окружающих вас людей, стоит отнестись ответственно, чтобы потом вам не пришлось жалеть о неподходящем выбранном решении.",3,1
21,"Что такое выбор? Это решение, которое несёт за собой последствие. Человеку не раз приходится делать выбор каждый день. К сожалению, не всегда правильный. Попробую доказать справедливость своих слов на примерах из текста Деникина Антона Ивановича и из своего читательского опыта.
Ярким примером в тексте служит предложение N4. Главный герой осуществил выбор, решив какую именно взять вещь.
Вспоминается произведение Шолохова ""Судьба человека"". Главному герою Андрею Соколову не раз приходилось делать выбор. Идти на фронт, бежать от врага, убивать предателя, брать на воспитание мальчика.
Исходя из вышесказаных слов хочу подвести итог. Делая выбор, человек несёт за него ответственность, он расскрывает свою личность и решает свою судьбу.",3,1
29,"Выбор -действие человека, направленное на принятие какого-либо решения. Каждому человеку приходилось выбирать. Выбор может быть совершенно незначительным, как например выбор одежды перед школой, но есть выбор определяющий всю дальнейшую судьбу человека. Сейчас, после окончания девятого класса, каждый школьник должен сделать выбор, решить, остаться ему в школе или же уйти, а если уйти, то куда поступать? Какую проффессию выбрать? В тексте, главный герой избрал военную карьеру, не зная, следствие ли это гадания или каких-то других факторов.
На выбор человека всегда что-то, а иногда даже кто-то, влияет. Например, школьник после окончания девятого класса решил поступить в колледж на дизайнера Перед ним стоит выбор, в какой именно колледж ему поступить, тут на его выбор будут влиять два основных фактора: оценки в атистате и проходной балл в колледже. Он не сможет выбрать то учреждение, куда не проходит. Так же есть дополнительные факторы, мнение родителей и цена за обучение и так далее.
Но в большей степени на свой выбор влияет сам человек, исходя из личных предпочтений, убеждений и мировозрения. Человек любящий рисовать не станет выбирать между художественным институтом и строительным университетом, если на него не влияет кто-то или что-то. Что же в итоге? Каждый человек в праве делать свой выбор не зависимо от чужого мнения, слушая лишь себя.",3,1
30,"Выбор - это право человека опередить своё дальнейшее действие От нашего выбора зависят как малое положение дел, так и всё наше будущее
В тексте выбор рассказчика начинался с малого. Сначала это были предметы на гадании, потом его увлечения, а потом и будущая карьера И последний выбор был самым важным.
В жизни я каждый день сталкиваюсь с выбором. Но самым важным для меня является выбор своей будущей профессии это определит мою дальнейшую жизнь
Выбор будет преследовать на всю жизнь. И в определенных ситуациях мы должны быть очень внимательны, чтобы не совершить ошибку.",3,1
31,"Я думаю, что выбор - это действие человека, которое выполняет он сам, принимает важное решение, по какому пути ему следует идти по жизни.
Так, по тексту Ивана Антонович Деникина приведён, довольно, яркий пример на данную тему. Как главный персонаж, мальчик подросток после окончания училища выбора военную карьеру.
Мой пример из жизни. Однажды, у меня встал вопрос. В какую сторону я буду развиваться? В физическую или в умственную сторону. Если будешь развиваться в двух этих направлениях одновременно, то большого успеха не достигнешь. Я сделал выбор, что буду развиваться физически. И теперь я по этому направлению двигаюсь по жизни, добиваюсь лучших успехов
Из всех этих примеров следует вывод, что выбор - это очень важное решение в нашей жизни.",3,1
32,"Что такое выбор? Выбор это такое понятие что очень не легко объяснить но стоит попытаться, выбирать можно что угодно особенно в нашем двадцать первом веке где всё очень интерестное, развивающее ну можно сказать все делает за тебя.
Но это не самое главное. Вот лично для меня важнее сделать выбор друга, который не бросит тебя в трудную минуту, в радостный момент порадуется вместе с тобой. Ровно девять лет назад. я сделал выбор, я выбрал самого лучшего друга, который на протежении тринадцати лет вместе со мной и не раз мы друг друга не предали, все трудные минуты разделили на двоих и в радостные момент вместе радовались.
Делайте свой выбор правильным и достойным особенно при выбор друзей.",3,1
33,"Выбор - решение человека которое влияет на только на его судьбу но и на судьбу окружающих его людей.
В предложеном тексте говорится о том как в первый год жизни автора его родители устроили гадание, положив детскую саблю, рюмку и книжку. И то к чему верному он прикоснётся, сделает выбор, то и предопределит его судьбу.
И в моей жизни был выбор. Когда я узнал от родителей о том что мы переезжаем в другую деревню я очень не хотел туда ехать, мама сказала мне что если я захочу могу остаться дома, и я остался. Остался я потому что тут были мои друзья и я не мог их оставить потому что мы все дружим с первого класса.
Подводя итоги, я хочу сказать, что выбор должен быть у каждого человека, несмотря на его возраст, пол и другие знаки отличия.",3,1
34,"Что такое выбор? Выбор - в понятии представляет собой мнение человека в предстаявшим в выборе, между чем-то или кем-то. Человек может предопределить свой выбор. Ведь не известно как думает сам человек.
В предложении два, четыре и шесть ясно показан выбор мальчика и его отца.
В моей жизни случались много моментов где мне предстоял выбор какой предмет я буду сдавать, после какого класса я уйду, в какой город я поеду поступать и на какую профессию. Я сразу в пятом классе поставила себе цель в выборе предмета и в выборе профессии. И не только у меня был такой подобный случай. У многих людей случается разные выборы.
У многих людей есть свои выборы. Те которые или помогут в выборе разных профессий, в выборе того или иного предмета. Ведь нельзя взять и просто предугадать выбор человека. Ведь какой человек, так и его выбор в жизни.",3,1
35,"Что такое выбор? Это когда человек должен правельное решение выбрать. Я думаю, что выбор это решение при выборе чево либо. Приведу пример из литературы или из жизни.
В тексте А.Г. Деникин говорится о мальчике который делал выбор кем он хочет стать и он выбрал быть военым. Об этом говорится в предложение 19 23.
Приведу пример из жизни когда я был маленьким я всё время выберал кем я хочу стать и я себе сказал что я хочу быть пока самим собой.
Таким образом от правильного решения или выбора зависит всё и ты должен выберать что-то одно.",3,1
36,"Что такое выбор? Выбор - это решение которое принимает человек в соответствие со своими интересами и желаниями.
Чтобы доказать вышесказанное обратимся к тексту Антона Ивановича Деникина. В предложении 22, 23 мы видим, что главные герой имея высокие балы по математическим наукам, не поступает в высшее техническое заведение, а избирает военную карьеру. Этим он совершает свой выбор, который в дальнейшем повлияет на его жизнь.
В качестве второго аргумента, я хочу привести пример из личного жизненного опыта. В произведении М. Шолохова ""Судьба человека"" главный герой Андрей Соколов увидел мальчика-сироту Ванюшку обманывает его, говоря, что он его отец и забирает его к себе жить. На мой взгляд - это очень ответственный и достойный уважения выбор.
В заключение я хочу сказать, что перед тем как сделать какой то выбор, нужно очень хорошо подумать.",3,1
37,"Выбор - это то, что человек желает получить, при каком-либо выборе. Я считаю, что каждый человек имеет право на свой выбор. Докажу правоту своих слов на конкретных примерах.
В тексте А.И.Деникина повествует о мальчике который сделал свой выбор. Отец ему рассказывал о своей офицерской жизни. Мальчику эти рассказы представлялись весельем, так как они, по словам папы, беззаботные. В итоге мальчик сделал свой выбор, избрав военную карьеру.
Вторым аргументом послужит случай из жизни. Я выпускница 9 класса и перед мной стоит выбор ""Куда же пойти учиться?"". Я целый год думала над этим. И выбрала профессию которая мне по душе и по силам.
Таким образом, нужно делать правильный выбор, чтобы потом не жалеть.",3,1
38,"Выбор - это осознанное принятие решения из предложенного множества вариантов. С такой ситуацией человек сталкивается постоянно. Я считаю, что выбор профессии важен, ведь от этого зависит дальнейшая жизнь ребенка. Справедливость своих слов докажу конкретными примерами.
Обратимся к тексте Антона Деникина. В нем повествует о том, как мальчик выбирал профессию. С самого начала детства ему нравилось профессия военного. Для осуществления своей цели ходил в стрелковый батальон, слушал рассказы отца, который прошел путь ""от солдата до капитана"". Закончив училище, автор достиг своей цели и стал военным. Правильно сделанный выбор помог Деникину стать известным русским военачальником.
Подобный пример можно встретить и в жизни. Моя сестра Аня с самого детства мечтала стать доктором. Она читала книги, связанные с медициной, посещала дополнительные занятия по биологии и химии. Закончив институт, она стала педиатром. Этот пример показывает, что выбор помог Ане осуществить мечту.
Таким образом, выбор профессии, как и другой жизненный выбор, имеет большую роль в жизни человека.",3,1
39,"Что такое выбор? Выбор - это решение человека, влияющее на его жизнь.
В тексте А. Деникина главный герой сделал важный выбор карьеры. Детское гадание предопределило его интерес к военному делу (предложения 1-4), и он шел к своей цели.
Из личного опыта приведу пример выбора увлечения. В детстве я выбирал между музыкой и спортом. Решив заниматься музыкой, открыл для себя мир прекрасного.
Таким образом, правильный выбор формирует личность и определяет развитие человека.",3,1
